0 0 0     0.000128416 0 0
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000700435
0.00282515 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.00308198 0 0.000700435
0.00308198 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.0032104 0 0.000700435
0.0032104 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00333882 0 0.000700435
0.00333882 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000700435
0.00346723 0 0.000700435     0.00346723 0 0.000840522
0.00346723 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00359565 0 0.000840522
0.00359565 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00372406 0 0.000840522
0.00372406 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.00385248 0 0.000840522
0.00385248 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.0039809 0 0.000840522
0.0039809 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00410931 0 0.000840522
0.00410931 0 0.000840522     0.00423773 0 0.000980609
0.00423773 0 0.000980609     0.00423773 0 0.000980609
0.00423773 0 0.000980609     0.00423773 0 0.000980609
0.00423773 0 0.000980609     0.00436614 0 0.000980609
0.00436614 0 0.000980609     0.00436614 0 0.000980609
0.00436614 0 0.000980609     0.00436614 0 0.000980609
0.00436614 0 0.000980609     0.00436614 0 0.000980609
0.00436614 0 0.000980609     0.00436614 0 0.000980609
0.00436614 0 0.000980609     0.00449456 0 0.000980609
0.00449456 0 0.000980609     0.00449456 0 0.000980609
0.00449456 0 0.000980609     0.00449456 0 0.000980609
0.00449456 0 0.000980609     0.00449456 0 0.000980609
0.00449456 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00462298 0 0.000980609
0.00462298 0 0.000980609     0.00475139 0 0.000980609
0.00475139 0 0.000980609     0.00475139 0 0.000980609
0.00475139 0 0.000980609     0.00475139 0 0.000980609
0.00475139 0 0.000980609     0.00475139 0 0.0011207
0.00475139 0 0.0011207     0.00475139 0 0.0011207
0.00475139 0 0.0011207     0.00475139 0 0.0011207
0.00475139 0 0.0011207     0.00475139 0 0.0011207
0.00475139 0 0.0011207     0.00475139 0 0.0011207
0.00475139 0 0.0011207     0.00487981 0 0.0011207
