0 0 0     -1.77275e-09 2.76094e-05 0
5.662e-05 0.000331401 7.96749e-09     5.65756e-05 0.000359018 7.96749e-09
5.65756e-05 0.000359018 7.96749e-09     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.50133e-05 0.000359065 1.79269e-08
8.50133e-05 0.000359065 1.79269e-08     8.49654e-05 0.000386685 1.79269e-08
8.49654e-05 0.000386685 1.79269e-08     8.49654e-05 0.000386685 1.79269e-08
8.49654e-05 0.000386685 1.79269e-08     8.49654e-05 0.000386685 1.79269e-08
8.49654e-05 0.000386685 1.79269e-08     8.49654e-05 0.000386685 1.79269e-08
8.49654e-05 0.000386685 1.79269e-08     8.4914e-05 0.000414306 1.79269e-08
8.4914e-05 0.000414306 1.79269e-08     8.4914e-05 0.000414306 1.79269e-08
8.4914e-05 0.000414306 1.79269e-08     8.4914e-05 0.000414306 1.79269e-08
8.4914e-05 0.000414306 1.79269e-08     8.4914e-05 0.000414306 1.79269e-08
8.4914e-05 0.000414306 1.79269e-08     8.4914e-05 0.000414306 1.79269e-08
8.4914e-05 0.000414306 1.79269e-08     8.4859e-05 0.000441926 1.79269e-08
8.4859e-05 0.000441926 1.79269e-08     8.4859e-05 0.000441926 1.79269e-08
8.4859e-05 0.000441926 1.79269e-08     8.4859e-05 0.000441926 1.79269e-08
8.4859e-05 0.000441926 1.79269e-08     8.4859e-05 0.000441926 1.79269e-08
8.4859e-05 0.000441926 1.79269e-08     8.4859e-05 0.000441926 1.79269e-08
8.4859e-05 0.000441926 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     8.48005e-05 0.000469546 1.79269e-08
8.48005e-05 0.000469546 1.79269e-08     0.000113238 0.000469608 3.187e-08
0.000113238 0.000469608 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.000113176 0.000497232 3.187e-08
0.000113176 0.000497232 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.00011311 0.000524856 3.187e-08
0.00011311 0.000524856 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000113041 0.00055248 3.187e-08
0.000113041 0.00055248 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112968 0.000580104 3.187e-08
0.000112968 0.000580104 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.000112892 0.000607728 3.187e-08
0.000112892 0.000607728 3.187e-08     0.00014133 0.000607809 4.97968e-08
0.00014133 0.000607809 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.00014125 0.000635436 4.97968e-08
0.00014125 0.000635436 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.000141167 0.000663064 4.97968e-08
0.000141167 0.000663064 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.00014108 0.000690691 4.97968e-08
0.00014108 0.000690691 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140989 0.000718319 4.97968e-08
0.000140989 0.000718319 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000140895 0.000745946 4.97968e-08
0.000140895 0.000745946 4.97968e-08     0.000169333 0.000746045 7.17074e-08
0.000169333 0.000746045 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169235 0.000773676 7.17074e-08
0.000169235 0.000773676 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169134 0.000801307 7.17074e-08
0.000169134 0.000801307 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
