0 0 0     0 0 1
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 29
4294967295 6 29     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 30
4294967295 6 30     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 31
4294967295 6 31     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 6 32
4294967295 6 32     4294967295 7 33
4294967295 7 33     4294967295 7 33
4294967295 7 33     4294967295 7 33
4294967295 7 33     4294967295 7 34
4294967295 7 34     4294967295 7 34
4294967295 7 34     4294967295 7 34
4294967295 7 34     4294967295 7 34
4294967295 7 34     4294967295 7 34
4294967295 7 34     4294967295 7 35
4294967295 7 35     4294967295 7 35
4294967295 7 35     4294967295 7 35
4294967295 7 35     4294967295 7 35
4294967295 7 35     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 36
4294967295 7 36     4294967295 7 37
4294967295 7 37     4294967295 7 37
4294967295 7 37     4294967295 7 37
4294967295 7 37     4294967295 8 37
4294967295 8 37     4294967295 8 37
4294967295 8 37     4294967295 8 37
4294967295 8 37     4294967295 8 37
4294967295 8 37     4294967295 8 37
4294967295 8 37     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 38
4294967295 8 38     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 39
4294967295 8 39     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 40
4294967295 8 40     4294967295 8 41
4294967295 8 41     4294967295 8 41
4294967295 8 41     4294967295 8 41
4294967295 8 41     4294967295 8 41
4294967295 8 41     4294967295 8 41
4294967295 8 41     4294967295 9 41
4294967295 9 41     4294967295 9 41
4294967295 9 41     4294967295 9 41
4294967295 9 41     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 42
4294967295 9 42     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 43
4294967295 9 43     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 44
4294967295 9 44     4294967295 9 45
4294967295 9 45     4294967295 9 45
4294967295 9 45     4294967295 10 45
4294967295 10 45     4294967295 10 45
4294967295 10 45     4294967295 10 45
4294967295 10 45     4294967295 10 45
4294967295 10 45     4294967295 10 45
4294967295 10 45     4294967295 10 45
4294967295 10 45     4294967294 10 45
4294967294 10 45     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 46
4294967294 10 46     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 47
4294967294 10 47     4294967294 10 48
4294967294 10 48     4294967294 10 48
4294967294 10 48     4294967294 10 48
4294967294 10 48     4294967294 10 48
4294967294 10 48     4294967294 11 48
4294967294 11 48     4294967294 11 48
4294967294 11 48     4294967294 11 48
4294967294 11 48     4294967294 11 49
4294967294 11 49     4294967294 11 49
4294967294 11 49     4294967294 11 49
4294967294 11 49     4294967294 11 49
4294967294 11 49     4294967294 11 49
4294967294 11 49     4294967294 11 50
4294967294 11 50     4294967294 11 50
4294967294 11 50     4294967294 11 50
4294967294 11 50     4294967294 11 50
4294967294 11 50     4294967294 11 50
4294967294 11 50     4294967294 11 51
4294967294 11 51     4294967294 11 51
4294967294 11 51     4294967294 11 51
4294967294 11 51     4294967294 11 51
4294967294 11 51     4294967294 11 51
4294967294 11 51     4294967294 12 51
4294967294 12 51     4294967294 12 51
4294967294 12 51     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 52
4294967294 12 52     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 53
4294967294 12 53     4294967294 12 54
4294967294 12 54     4294967294 12 54
4294967294 12 54     4294967294 12 54
4294967294 12 54     4294967294 12 54
4294967294 12 54     4294967294 12 54
4294967294 12 54     4294967294 13 54
4294967294 13 54     4294967294 13 54
4294967294 13 54     4294967294 13 54
4294967294 13 54     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 55
4294967294 13 55     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 56
4294967294 13 56     4294967294 13 57
4294967294 13 57     4294967294 13 57
4294967294 13 57     4294967294 13 57
4294967294 13 57     4294967294 13 57
4294967294 13 57     4294967294 14 57
4294967294 14 57     4294967294 14 57
4294967294 14 57     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 58
4294967294 14 58     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 59
4294967294 14 59     4294967294 14 60
4294967294 14 60     4294967294 14 60
4294967294 14 60     4294967293 14 60
4294967293 14 60     4294967293 14 60
4294967293 14 60     4294967293 14 60
4294967293 14 60     4294967293 15 60
4294967293 15 60     4294967293 15 60
4294967293 15 60     4294967293 15 61
4294967293 15 61     4294967293 15 61
4294967293 15 61     4294967293 15 61
4294967293 15 61     4294967293 15 61
4294967293 15 61     4294967293 15 61
4294967293 15 61     4294967293 15 61
4294967293 15 61     4294967293 15 62
4294967293 15 62     4294967293 15 62
4294967293 15 62     4294967293 15 62
4294967293 15 62     4294967293 15 62
4294967293 15 62     4294967293 15 62
4294967293 15 62     4294967293 15 62
4294967293 15 62     4294967293 15 63
4294967293 15 63     4294967293 15 63
4294967293 15 63     4294967293 15 63
4294967293 15 63     4294967293 15 63
4294967293 15 63     4294967293 15 63
4294967293 15 63     4294967293 15 63
4294967293 15 63     4294967293 15 64
4294967293 15 64     4294967293 16 64
4294967293 16 64     4294967293 16 64
4294967293 16 64     4294967293 16 64
4294967293 16 64     4294967293 16 64
4294967293 16 64     4294967293 16 64
4294967293 16 64     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 65
4294967293 16 65     4294967293 16 66
4294967293 16 66     4294967293 16 66
4294967293 16 66     4294967293 16 66
4294967293 16 66     4294967293 16 66
4294967293 16 66     4294967293 16 66
4294967293 16 66     4294967293 16 67
4294967293 16 67     4294967293 17 67
4294967293 17 67     4294967293 17 67
4294967293 17 67     4294967293 17 67
4294967293 17 67     4294967293 17 67
4294967293 17 67     4294967293 17 67
4294967293 17 67     4294967293 17 68
4294967293 17 68     4294967293 17 68
4294967293 17 68     4294967293 17 68
4294967293 17 68     4294967293 17 69
4294967293 17 69     4294967293 17 69
4294967293 17 69     4294967293 17 69
4294967293 17 69     4294967293 17 70
4294967293 17 70     4294967293 17 70
4294967293 17 70     4294967292 18 70
4294967292 18 70     4294967292 18 70
4294967292 18 70     4294967292 18 71
4294967292 18 71     4294967292 18 71
4294967292 18 71     4294967292 18 71
4294967292 18 71     4294967292 18 72
4294967292 18 72     4294967292 18 72
4294967292 18 72     4294967292 18 72
4294967292 18 72     4294967292 18 72
4294967292 18 72     4294967292 18 73
4294967292 18 73     4294967292 18 73
4294967292 18 73     4294967292 19 73
4294967292 19 73     4294967292 19 73
4294967292 19 73     4294967292 19 73
4294967292 19 73     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 74
4294967292 19 74     4294967292 19 75
4294967292 19 75     4294967292 19 75
4294967292 19 75     4294967292 19 75
4294967292 19 75     4294967292 19 75
4294967292 19 75     4294967292 19 75
4294967292 19 75     4294967292 19 75
4294967292 19 75     4294967292 19 76
4294967292 19 76     4294967292 19 76
4294967292 19 76     4294967292 20 76
4294967292 20 76     4294967292 20 76
4294967292 20 76     4294967292 20 76
4294967292 20 76     4294967292 20 76
4294967292 20 76     4294967292 20 76
4294967292 20 76     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 77
4294967292 20 77     4294967292 20 78
4294967292 20 78     4294967292 20 78
4294967292 20 78     4294967291 20 78
4294967291 20 78     4294967291 20 78
4294967291 20 78     4294967291 20 78
4294967291 20 78     4294967291 21 78
4294967291 21 78     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 79
4294967291 21 79     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 80
4294967291 21 80     4294967291 21 81
4294967291 21 81     4294967291 21 81
4294967291 21 81     4294967291 21 81
4294967291 21 81     4294967291 22 81
4294967291 22 81     4294967291 22 81
4294967291 22 81     4294967291 22 81
4294967291 22 81     4294967291 22 81
4294967291 22 81     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 82
4294967291 22 82     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 83
4294967291 22 83     4294967291 22 84
4294967291 22 84     4294967291 23 84
4294967291 23 84     4294967291 23 84
4294967291 23 84     4294967291 23 84
4294967291 23 84     4294967291 23 84
4294967291 23 84     4294967291 23 84
4294967291 23 84     4294967291 23 84
4294967291 23 84     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967291 23 85
4294967291 23 85     4294967290 23 86
4294967290 23 86     4294967290 23 86
4294967290 23 86     4294967290 23 86
4294967290 23 86     4294967290 23 86
4294967290 23 86     4294967290 23 86
4294967290 23 86     4294967290 24 87
4294967290 24 87     4294967290 24 87
4294967290 24 87     4294967290 24 87
4294967290 24 87     4294967290 24 87
4294967290 24 87     4294967290 24 88
4294967290 24 88     4294967290 24 88
4294967290 24 88     4294967290 24 88
4294967290 24 88     4294967290 24 88
4294967290 24 88     4294967290 24 88
4294967290 24 88     4294967290 24 88
4294967290 24 88     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 24 89
4294967290 24 89     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 90
4294967290 25 90     4294967290 25 91
4294967290 25 91     4294967290 25 91
4294967290 25 91     4294967290 25 91
4294967290 25 91     4294967290 25 91
4294967290 25 91     4294967290 25 91
4294967290 25 91     4294967290 25 91
4294967290 25 91     4294967290 25 92
4294967290 25 92     4294967290 25 92
4294967290 25 92     4294967290 25 92
4294967290 25 92     4294967290 25 92
4294967290 25 92     4294967290 25 92
4294967290 25 92     4294967290 25 92
4294967290 25 92     4294967290 25 92
